Number of vertices: 21
Start vertex:       5

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20
-------------------------------------------------------------------------------------------------------------
  0 |    0    0    0    0    0    0    0   97    0    0    0    0    0    0    0    0    0    0    0    0    0
  1 |    0    0    0    0    0    0    0   56   17    0    0    0    0   33    0    0    0    0   76    0    0
  2 |   53    0    0    0    0    0    0   56    0   51    0    0    0    0    0    0   59    0    0    0    0
  3 |    0    0    0    0    0   87    0    0   95   15   66    0    0    0    0    0    0    0    0    0    0
  4 |    0    8   40    0    0    0    0   15    0    0   58    0   22    0    0    0    0    0    0   18   38
  5 |   48   85    0    0    0    0    0    0    0    0    0    0   64    0    0    0    0    0   64    0    0
  6 |    0    0    0   34    0    0    0    0    0    0    0    0   17    0    0   46    0    0    0    0   30
  7 |   75    0    0    0    0    0    0    0    0   42    0   84    0    0    0    0    0    0    0    0    0
  8 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   25    0   58
  9 |    0    0    0    0    0    0   60    0    0    0    0    0    0    0   16    0    0    0   47    0    0
 10 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 11 |    0    0    0    0    0    0    0    0   45    0    0    0    0   41    0    0   81    0    0    0    0
 12 |    0    0    0    0   33   76    0    0    0   87    0   18    0    0    0    0   71   34    0    0    0
 13 |    0    0   84    0   30    0    0   83    0    0    0    0    0    0    0    0    0   56    0   54    0
 14 |   83   60    0    0   92    0    0    0    0    0    0    0    0    0    0    0    0    0    3   29    0
 15 |    0    0    0    0    0    0    0    0   25    0    0    0    0    0    0    0    0    0    0    0    0
 16 |    0    0    0    0    0    0   89    0    0    0    0   56    0    0    0   94    0    0    0    0    0
 17 |    0    0    0    0   69   93    2    0    0   24    0    0   38    0    0    0    0    0    0    0    0
 18 |    9    0    0    0    0    0    0    0    0    0    0    0    0    0    0   80    0    0    0    0    0
 19 |    0    0    0    0   58    0    0    0    0    0    0   74    0    0   27    0    9   27    0    0   53
 20 |    0    0    0    0   78    0    0    0    0    0    0    0    0    0   47    0   91    0    0    0    0
